"0","twoods@yahoo.com","scrypt:32768:8:1$dp5mYBG9K5SI6rJd$afa1251213f0901c1de110a1d074ddde3884918322af03c56496488d5cd17a72a0dc67ed55081365ae571af371d18b4c352f9fca44f97ae332f2657c33f3e5e7","Marissa","Lee","-32.5958305","127.674613"
"1","christopherjohnson@gmail.com","scrypt:32768:8:1$FziXIvHZEO6QJ8uJ$a14b047cf97f006c80e7a47f96ebe264ebd99f87d82f34226197249295eee1daec2ca9490f66de05173e8ca95570d833a4c41541e946c35caa3ca12a141dc2a9","Dylan","Rivera","-9.7474565","142.318777"
"2","kathleenlawrence@hotmail.com","scrypt:32768:8:1$DsghruajSy5XbG2k$aa57f09aa1d606baf4280d282cfc8adfab8680ce7c236d5a0c2f4b706143023a04aeed3324af0d65d9505652946d395456463aa27436a01c15efae9fec37aa9a","Nicole","Carroll","-85.4092445","-152.432993"
"3","hzimmerman@hotmail.com","scrypt:32768:8:1$DrgOQmXbiiJFPkpn$96bde708516ea2f84ff50f201dbeca2e39509f30513c191ccae98f6a8e963c5a370911097e1bf08e58f23ab36efcee481c18eabc2d7b83c4af000bf8f1a33b35","Gregory","Collins","83.2787735","81.962796"
"4","johnsonmatthew@gmail.com","scrypt:32768:8:1$uXGjn9EVJaEYsFyB$fa356f9398dd8c4b78d4fa490cc66086e951f6a6b8fd06cdcaf2ec62c1b9df33830651ea7636dec0fb94daf174dedbccb9d8d4c76c65dbbd7f290b6bad42ac3c","Amy","Nelson","-87.878332","-0.832990"
"5","andrewhall@yahoo.com","scrypt:32768:8:1$s9wVC2BCWzTMZfaX$8f546bcea7b170402a9a886a84579e126df9aa79c20a179aea7bf1e2faabd141622ebe3127bdc7f1fbc77e00a2a4e439d29e4af292f6c2d70f29819db986b833","Angela","Palmer","56.050797","-0.777465"
"6","cassiehunter@yahoo.com","scrypt:32768:8:1$0OvYHPgsuyWaWWkf$4d662e611869dfb2d6b1da22d3dd29b2e9659e946e0777edc58273625d4ac0d1692d32d3f7e527b11df4eb3186bc6906567e7311e30b058732428bb109a519a2","Sandra","Sanchez","1.0345525","112.880840"
"7","stephanieroy@gmail.com","scrypt:32768:8:1$FxoVf5ctuo9E1ddB$8d2a0ac72528b2dc039c130489e7b5a78f6dec3118db75ca2f8639b0232e6be31e83adbaadff561812de4c6462a22ff000bcdc968d138ccfe913256536ed9867","Kimberly","Calderon","-10.4400495","15.376538"
"8","david86@hotmail.com","scrypt:32768:8:1$5jTBA7LZhb4L5CC4$d67376a5c452b54f13d1f1ce311618c88bbf922fcda596555bf80bc9c87d2d9e6e6909e7b81d063d743d13c2df94a9524dc6c3740e51be730b97a250b3ea7fe6","Ryan","Howell","69.031434","-10.535343"
"9","jennifer94@gmail.com","scrypt:32768:8:1$WOByaZozeHJcgDzb$0369c6c1ebd31793c79f322467c09ea53c968f8f18546d485c1503cbdac0b7b19d83a406fdfcdf3e657b1b4b373a5462ff58a5e54d5b81a026aa80cfc56e47a1","Jared","Watson","-83.7079955","-117.579135"
"10","christopherperkins@gmail.com","scrypt:32768:8:1$EFNV8zZchxFruV9d$937c20e45d592bf091cd8642aaa3b4fcced64e2f8cfbc4b2830d883a6a7b48a82333d596f4a765d7cd2b697a7f0dea81d1b501deb9acd900a332c9a7fdb2ced0","Marco","Ford","-25.873961","-108.362181"
